linhaFonte,codigoProdutoLegado,descricaoCadastro,numeroLote,validade,quantidade,custoUnitario,observacao
2,AT50006,ACIDO TRANEXAMICO 250MG/5ML - CX/50 - ZYDUS,1025.028,2027-10-31,50,2.5,IMPORT_PRODUTOS_854968:linha=2:codigo=AT50006 | nomeOriginal=ACIDO TRANEXAMICO 250MG/5ML - CX/50 - ZYDUS - LT: 1025.028 VL: 10/27 | fornecedorLegado=0
10,AA50002,ACTILYSE ALTEPLASE 50MG/50ML - BOEHRINGER,504227,2028-04-30,2,1800,IMPORT_PRODUTOS_854968:linha=10:codigo=AA50002 | nomeOriginal=ACTILYSE ALTEPLASE 50MG/50ML - BOEHRINGER - LT: 504227 VL: 04/28 | fornecedorLegado=0
15,ÁD10006,ÁGUA DESTILADA 10ML AP - FARMACE - CX/200,26C10265D,2028-02-29,1400,0.18,IMPORT_PRODUTOS_854968:linha=15:codigo=ÁD10006 | nomeOriginal=ÁGUA DESTILADA 10ML AP - FARMACE - CX/200 - LT: 26C10265D VL: 02/28 | fornecedorLegado=0
21,ÁO30001,ÁGUA OXIGENADA 3% 10VL 1L - CX/12 - RIOQUÍMICA,2504324,2028-08-31,10,1,IMPORT_PRODUTOS_854968:linha=21:codigo=ÁO30001 | nomeOriginal=ÁGUA OXIGENADA 3% 10VL 1L - CX/12 - RIOQUÍMICA - LT: 2504324 VL: 08/28 | fornecedorLegado=0
22,ÁPI0001,ÁGUA PARA INJEÇÃO 10ML - FARMACE CX/200,2630180,2028-02-29,200,3.9,IMPORT_PRODUTOS_854968:linha=22:codigo=ÁPI0001 | nomeOriginal=ÁGUA PARA INJEÇÃO 10ML - FARMACE CX/200 -  - LT: 2630180 VL: 02/28 | fornecedorLegado=0
50,A(H0004,ALFAPOETINA ( HEMAX ERITRON) 4000 UI - ACHE - CX/1,2514980,2027-09-30,30,10,IMPORT_PRODUTOS_854968:linha=50:codigo=A(H0004 | nomeOriginal=ALFAPOETINA ( HEMAX ERITRON) 4000 UI - ACHE - CX/1 - LT: 2514980 VL: 09/27 | fornecedorLegado=0
75,ADA0003,AZITROMICINA DI-HIDRATADA AZICIN 500MG CX/10 - GLOBO,A03B09925,2027-09-30,25,8,IMPORT_PRODUTOS_854968:linha=75:codigo=ADA0003 | nomeOriginal=AZITROMICINA DI-HIDRATADA AZICIN 500MG CX/10 - GLOBO - LT: A03B09925 VL: 09/27 | fornecedorLegado=0
78,BR10002,BROMETO DE ROCURONIO 10MG/5ML - CX/25 - CRISTALIA,50037810,2028-01-31,25,4,IMPORT_PRODUTOS_854968:linha=78:codigo=BR10002 | nomeOriginal=BROMETO DE ROCURONIO 10MG/5ML - CX/25 - CRISTALIA LT: 50037810 VAL: 01/28 | fornecedorLegado=0
79,BR10013,BROMETO DE ROCURONIO 10MG/5ML - CX/25 - CRISTALIA,50038122,2028-01-31,3,4,IMPORT_PRODUTOS_854968:linha=79:codigo=BR10013 | nomeOriginal=BROMETO DE ROCURONIO 10MG/5ML - CX/25 - CRISTALIA LT: 50038122 VAL: 01/28 | fornecedorLegado=0
80,BR10003,BROMETO DE ROCURONIO 10MG/5ML - CX/25 - CRISTALIA,50041689,2028-04-30,150,4,IMPORT_PRODUTOS_854968:linha=80:codigo=BR10003 | nomeOriginal=BROMETO DE ROCURONIO 10MG/5ML - CX/25 - CRISTALIA LT: 50041689 VL: 04/28 | fornecedorLegado=0
