codigo,descricao,macroCategoria,subcategoria,categoriaId,confianca,regra,marca,ncm,categoriaLegadoId,subcategoriaLegadoId,linhasFonte
AT50006,ACIDO TRANEXAMICO 250MG/5ML - CX/50 - ZYDUS,Medicamentos,Anticoagulantes e Hemostáticos,4,alta,coagulação/hemostasia,ZYDUS,30049039,324597,533512,2
AT50005,ACIDO TRANEXAMICO 50MG/5ML - CX/100 - HIPOLABOR (TRANSAMIN),Medicamentos,Anticoagulantes e Hemostáticos,4,alta,coagulação/hemostasia,HIPOLABOR,30049039,324597,533512,3
AT50011,ACIDO TRANEXAMICO 50MG/5ML - CX/5 - ZIDUS (TRANSAMIN),Medicamentos,Anticoagulantes e Hemostáticos,4,alta,coagulação/hemostasia,ZIDUS,30049039,324597,533512,4 | 5
AT50004,ACIDO TRANEXAMICO 50MG/5ML - CX/50 - BLAU (TRANSAMIN),Medicamentos,Anticoagulantes e Hemostáticos,4,alta,coagulação/hemostasia,BLAU,30049039,324597,533512,6 | 7 | 8
AA50002,ACTILYSE ALTEPLASE 50MG/50ML - BOEHRINGER,Medicamentos,Anticoagulantes e Hemostáticos,4,alta,coagulação/hemostasia,BOEHRINGER,,324597 | 0,,9 | 10 | 11
AH10001,ADRENALINA HYFREN 1ML AP CX/100 - HYPOFARMA,Medicamentos,Cardiovascular e Emergência,5,alta,cardiovascular/emergência,HYPOFARMA,30049099,0,,12
ÁD10004,ÁGUA BIDESTILADA 1000ML BOLSA P/ INJ - HALEXISTAR,Diversos e Revisão Cadastral,Revisar Classificação,33,baixa,sem regra forte,HALEXISTAR,30049099,0,,13
CS00019,AGUA BIDESTILADA P/ INJEÇÃO 1000ML FR - FRESENIUS,Diversos e Revisão Cadastral,Revisar Classificação,33,baixa,sem regra forte,FRESENIUS,28470000,324598,,14
ÁD10006,ÁGUA DESTILADA 10ML AP - FARMACE - CX/200,Medicamentos,"Soluções, Eletrólitos e Diluentes",7,alta,solução/eletrólito,FARMACE,30049099,0,,15
ÁD10001,ÁGUA DESTILADA 10ML AP P/ INJ - EQUIPLEX - CX/200,Medicamentos,"Soluções, Eletrólitos e Diluentes",7,alta,solução/eletrólito,EQUIPLEX,30049099,0,,16 | 17 | 18 | 19
ÁD10005,ÁGUA DESTILADA 5000ML GL - FACILIMPE,Medicamentos,"Soluções, Eletrólitos e Diluentes",7,alta,solução/eletrólito,FACILIMPE,30049099,0,,20
ÁO30001,ÁGUA OXIGENADA 3% 10VL 1L - CX/12 - RIOQUÍMICA,"Higiene, Antissepsia e Limpeza",Desinfecção e Limpeza,26,média,limpeza/desinfecção,RIOQUÍMICA,28470000,0,,21
ÁPI0001,ÁGUA PARA INJEÇÃO 10ML - FARMACE CX/200,Medicamentos,"Soluções, Eletrólitos e Diluentes",7,alta,solução/eletrólito,FARMACE,28470000,324598,,22
CS00008,ÁGUA PARA INJEÇÃO 500ML - CX/50 - FRESENIUS,Medicamentos,"Soluções, Eletrólitos e Diluentes",7,alta,solução/eletrólito,FRESENIUS,28470000,324598,,23
A1C0001,"AGULHA 13X0,45MM CX/100 DESCARPACK",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,SOLIDOR,90183219,370704,527290,24
AH20004,"AGULHA 20X0,55MM CX/100 LABOR IMPORT",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,LABOR IMPORT,90183219,370704,527290,25
A2C0002,"AGULHA 20X5,5MM (24GX3/4) CX/100 - DESCARPACK",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,DESCARPACK,90183219,370704,527290,26
A2C0001,"AGULHA 20X5,5MM C/ NR32 CX/100 - DESCARPACK",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,DESCARPACK,90183219,370704,527290,27
A3X0003,"AGULHA 25X0,7MM CX/100 SOLIDOR",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,SOLIDOR,90183219,370704,527290,28
A3X0007,"AGULHA 30X0,8MM CX/100 DESCARPACK",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,SOLIDOR,90183219,370704,527290,29
A3X0002,"AGULHA 30X0,8MM CX/100 SOLIDOR",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,SOLIDOR,90183219,370704,527290,30
A3C0001,"AGULHA 30X7,0MM CX/100 - SR",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,SR,90183219,370704,527290,31
A3C0003,AGULHA 40X12 (18GX1-1/2) CX/100 - WILTEX,Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,WILTEX,90183219,370704,527290,32
A3C0002,"AGULHA HIPODÉRMICA ESTÉRIL 40X1,20MM CX/100 - MEDIX",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,MEDIX,90183219,370704,527290,33
AP10001,"AGULHA PERICAN 16GX31,7X80MM - BBRAUN",Materiais Médico-Hospitalares,Agulhas e Cateteres,13,alta,agulha/cateter,BBRAUN,90183213,0,,34
AH20009,ALBUMINA HUMANA 20% 10G/50ML CX/01 - GRIFOLS,Medicamentos,Hemoderivados e Biológicos,9,alta,biológico/hemoderivado,GRIFOLS,30049079,324597,,35 | 36 | 37 | 38 | 39
AH20001,ALBUMINA HUMANA 200G/L FR 50 ML - KEDRION,Medicamentos,Hemoderivados e Biológicos,9,alta,biológico/hemoderivado,KEDRION,30049079,324597,,40 | 41 | 42
A7A0003,ALCOOL 70% 1000ML SEPTPRO - CX/12 - PROLINK,"Higiene, Antissepsia e Limpeza",Álcool e Antissépticos,25,alta,antisséptico,PROLINK,38089429,360748,,43
AEG0001,ALCOOL EM GEL 500ML C/ PUMP - TOP BEL,"Higiene, Antissepsia e Limpeza",Álcool e Antissépticos,25,alta,antisséptico,TOP BEL,38089429,0,,44
AE70002,ALCOOL ETILICO 70% 1000ML - CX/12 - PROLINK,"Higiene, Antissepsia e Limpeza",Álcool e Antissépticos,25,alta,antisséptico,PROLINK,38089429,360748,,45
AE70003,ALCOOL ETILICO 70% 1000ML- CX/12 - RIALCOOL 70 - RIOQUÍMICA,"Higiene, Antissepsia e Limpeza",Álcool e Antissépticos,25,alta,antisséptico,RIOQUÍMICA,38089429,360748,,46
A(H0004,ALFAPOETINA ( HEMAX ERITRON) 4000 UI - ACHE - CX/1,Medicamentos,Hemoderivados e Biológicos,9,alta,biológico/hemoderivado,ACHE,35040090,324597,533512,47 | 48 | 49 | 50 | 51
A+C0004,AMOXICILINA + CLAVULANATO 1000MG + 200MG - CX/20 - BLAU,Medicamentos,Antibióticos e Antimicrobianos,2,alta,antimicrobiano,BLAU,30041012,324597,527299,52 | 53 | 54 | 55 | 56 | 57
A+C0010,AMOXICILINA + CLAVULANATO 1G + 200MG - CX/10 - EUGIA,Medicamentos,Antibióticos e Antimicrobianos,2,alta,antimicrobiano,EUGIA,30041012,324597,527299,58 | 59 | 60 | 61
A+C0037,AMOXICILINA + CLAVULANATO 1G + 200MG - CX/10 - EUROFARMA,Medicamentos,Antibióticos e Antimicrobianos,2,alta,antimicrobiano,EUROFARMA,30041012,324597,527299,62
APV0001,APARELHO DE PRESSÃO VELCRO S/ESTETO - ACCUMED,Equipamentos e Instrumentais,Equipamentos de Monitoramento,29,alta,equipamento monitoramento,ACCUMED,90189069,377045,,63
